key,text,tag,file,type,protected_text,translated
nuclearFuelAllowNew,Allow New Fuel,nuclearFuelAllowNew,Rimatomics.xml,keyed,Allow New Fuel,允许使用新燃料
nuclearFuelAllowUsed,Allow Used Fuel,nuclearFuelAllowUsed,Rimatomics.xml,keyed,Allow Used Fuel,允许使用过的燃料
Weaponrankicons,Weapon rank icons,Weaponrankicons,Rimatomics.xml,keyed,Weapon rank icons,武器等级图标
WeaponrankiconsDesc,Shows small rank icons on veteran energy weapons when zoomed in,WeaponrankiconsDesc,Rimatomics.xml,keyed,Shows small rank icons on veteran energy weapons when zoomed in,放大时显示退伍军人能量武器上的小等级图标
Showresearchbutton,Show research button,Showresearchbutton,Rimatomics.xml,keyed,Show research button,显示研究按钮
ShowresearchbuttonDesc,"Adds a Rimatomics research button to the main tabs, else it can be opened from a tab on each research bench",ShowresearchbuttonDesc,Rimatomics.xml,keyed,"Adds a Rimatomics research button to the main tabs, else it can be opened from a tab on each research bench",在主选项卡中添加 Rimatomics 研究按钮，否则可以从每个研究台上的选项卡打开它
Mannedreactorconsole,Manned reactor console,Mannedreactorconsole,Rimatomics.xml,keyed,Manned reactor console,载人反应堆控制台
MannedreactorconsoleDesc,"Reactor consoles must me manned by a pawn for the control window to open, else it can be opened from a button",MannedreactorconsoleDesc,Rimatomics.xml,keyed,"Reactor consoles must me manned by a (PH_1) for the control window to open, else it can be opened from a button",Reactor 控制台必须由 pawn 操作才能打开控制窗口，否则可以通过按钮打开它
ThreatDetectionToggle,Threat Detection,ThreatDetectionToggle,Rimatomics.xml,keyed,Threat Detection,威胁检测
ThreatDetectionToggleDesc,Toggle threat detection mode,ThreatDetectionToggleDesc,Rimatomics.xml,keyed,Toggle threat detection mode,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
AutothrotIDCount,"Multiple cores set to {0}, each core must have a unique ID for auto-throttle to engage",AutothrotIDCount,Rimatomics.xml,keyed,"Multiple cores set to (PH_1), each core must have a unique ID for auto-throttle to engage",多个核心设置为 {0}，每个核心必须有一个唯一的 ID 才能启用自动调节
AutothrotOn,Auto-throttle engaged for {0},AutothrotOn,Rimatomics.xml,keyed,Auto-throttle engaged for (PH_1),自动油门已启用 {0}
AutothrotOff,Auto-throttle disengaged for {0},AutothrotOff,Rimatomics.xml,keyed,Auto-throttle disengaged for (PH_1),自动油门已脱离 {0}
AutothrotRange,Grid excess must be within +/- 5000w to engage,AutothrotRange,Rimatomics.xml,keyed,Grid excess must be within +/- 5000w to engage,电网过剩功率必须在 +/- 5000w 范围内才能参与
AutothrotTip,"Engage Auto-throttle\n\ncontrol flux level to match power net load, the grid excess on the power net that this console is connected to must be within +/- 5000w to engage",AutothrotTip,Rimatomics.xml,keyed,"Engage Auto-throttle(PH_2)(PH_1)control flux level to match power net load, the grid excess on the power net that this console is connected to must be within +/- 5000w to engage","启用自动油门

控制通量水平以匹配电网负载，该控制台所连接的电网上的电网过剩必须在 +/- 5000w 范围内才能启用"
CoreIdMismatch,"Reactor and console ID do not match, each core requires its own console with a unique ID for auto-throttle",CoreIdMismatch,Rimatomics.xml,keyed,"Reactor and console ID do not match, each core requires its own console with a unique ID for auto-throttle",Reactor 和控制台 ID 不匹配，每个核心都需要自己的控制台，并具有用于自动节流的唯一 ID
FuelLifeRange,{0} Fuel Life,FuelLifeRange,Rimatomics.xml,keyed,(PH_1) Fuel Life,{0} 燃油寿命
PoolLoading,Loading,PoolLoading,Rimatomics.xml,keyed,Loading,加载中
PoolUnloading,Unloading,PoolUnloading,Rimatomics.xml,keyed,Unloading,卸货
